input,State
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
